sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time",provenance,"api_et","api_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time","__mv_provenance","__mv_api_et","__mv_api_lt"
"nba_sendlog_dns_search","search index=* tag=""dns"" tag=""network"" tag=""resolution"" earliest=-40320m latest=+1440m _indextime > 1678185998 _indextime <= 1678186118 | eval src_ip = if(isnull(src_ip), src, src_ip) | eval record_type = if(isnull(record_type), questiontype, record_type) | eval reply_code = if(isnull(reply_code), reply_code_id, reply_code) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_host, query, record_type, reply_code","rhel.hwf.sc4s","1678186178.540543",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_http_search","search index=* tag=""web"" earliest=-40320m latest=+1440m _indextime > 1678185998 _indextime <= 1678186118 | eval src_ip = if(isnull(src_ip), src, src_ip) | eval url = if(isnull(url), site, url) | eval bytes_out = if(isnull(bytes_out), bytes, bytes_out) | eval http_referrer = if(isnull(http_referrer), http_referer, http_referrer) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_host, url, app, action, status, bytes_in, bytes_out, http_content_type, http_method, http_referrer, http_user_agent","rhel.hwf.sc4s","1678186178.984385",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_ip_search","search index=* tag=""network"" tag=""communicate"" earliest=-40320m latest=+1440m _indextime > 1678185999 _indextime <= 1678186119 | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | where not cidrmatch(""10.0.0.0/8"", dest_ip) and not cidrmatch(""172.16.0.0/12"", dest_ip) and not cidrmatch(""192.168.0.0/16"", dest_ip) and not cidrmatch(""fc00::/7"", dest_ip) | eval src_ip = if(isnull(src_ip), src, src_ip) | eval transport = if(isnull(transport), protocol, transport) | eval bytes_out = if(isnull(bytes_out), bytes, bytes_out) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_port, src_host, dest_ip, dest_port, transport, bytes_in, bytes_out, app, action, duration","rhel.hwf.sc4s","1678186179.460290",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_vpn_search","search index=* tag=""network"" tag=""session"" tag=""vpn"" earliest=-40320m latest=+1440m _indextime > 1678186000 _indextime <= 1678186120 | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | eval tags = mvjoin('tag', "","") | table _indextime, time, dest_ip, dest_nt_host, dest_mac, user, tags","rhel.hwf.sc4s","1678186180.717677",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_tls_search","search index=* tag=""certificate"" earliest=-40320m latest=+1440m _indextime > 1678186001 _indextime <= 1678186121 | eval src_ip = if(isnull(src_ip), src, src_ip) | eval src_host = if(isnull(src_host), src_nt_host, src_host) | eval src_user = if(isnull(src_user), user, src_user) | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | eval ssl_start_time = strftime(ssl_start_time, ""%Y-%m-%dT%H:%M:%S%z"") | eval ssl_end_time = strftime(ssl_end_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_port, src_host, src_mac, src_user, dest_ip, dest_port, ssl_hash, ssl_cert_sha1, ssl_issuer, ssl_subject, ssl_start_time, ssl_end_time, ja3, ja3s","rhel.hwf.sc4s","1678186181.950109",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_dhcp_search","search index=* tag=""network"" tag=""session"" tag=""dhcp"" earliest=-40320m latest=+1440m _indextime > 1678186116 _indextime <= 1678186236 | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | eval msg_types = mvjoin('msg_types{}', "","") | table _indextime, time, dest_ip, dest_nt_host, dest_mac, user, lease_duration, signature, msdhcp_id, msg_types","rhel.hwf.sc4s","1678186296.666698",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_http_search","search index=* tag=""web"" earliest=-40320m latest=+1440m _indextime > 1678186118 _indextime <= 1678186238 | eval src_ip = if(isnull(src_ip), src, src_ip) | eval url = if(isnull(url), site, url) | eval bytes_out = if(isnull(bytes_out), bytes, bytes_out) | eval http_referrer = if(isnull(http_referrer), http_referer, http_referrer) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_host, url, app, action, status, bytes_in, bytes_out, http_content_type, http_method, http_referrer, http_user_agent","rhel.hwf.sc4s","1678186298.331704",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_dns_search","search index=* tag=""dns"" tag=""network"" tag=""resolution"" earliest=-40320m latest=+1440m _indextime > 1678186118 _indextime <= 1678186238 | eval src_ip = if(isnull(src_ip), src, src_ip) | eval record_type = if(isnull(record_type), questiontype, record_type) | eval reply_code = if(isnull(reply_code), reply_code_id, reply_code) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_host, query, record_type, reply_code","rhel.hwf.sc4s","1678186298.896202",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_ip_search","search index=* tag=""network"" tag=""communicate"" earliest=-40320m latest=+1440m _indextime > 1678186119 _indextime <= 1678186239 | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | where not cidrmatch(""10.0.0.0/8"", dest_ip) and not cidrmatch(""172.16.0.0/12"", dest_ip) and not cidrmatch(""192.168.0.0/16"", dest_ip) and not cidrmatch(""fc00::/7"", dest_ip) | eval src_ip = if(isnull(src_ip), src, src_ip) | eval transport = if(isnull(transport), protocol, transport) | eval bytes_out = if(isnull(bytes_out), bytes, bytes_out) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | table _indextime, time, src_ip, src_port, src_host, dest_ip, dest_port, transport, bytes_in, bytes_out, app, action, duration","rhel.hwf.sc4s","1678186299.800289",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nba_sendlog_vpn_search","search index=* tag=""network"" tag=""session"" tag=""vpn"" earliest=-40320m latest=+1440m _indextime > 1678186120 _indextime <= 1678186240 | eval dest_ip = if(isnull(dest_ip), dest, dest_ip) | eval time = strftime(_time, ""%Y-%m-%dT%H:%M:%S%z"") | eval tags = mvjoin('tag', "","") | table _indextime, time, dest_ip, dest_nt_host, dest_mac, user, tags","rhel.hwf.sc4s","1678186300.969245",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
